CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
ROBBERY,07/03/2024 01:00:00 AM,24-033180,VEHICLE THEFT - AUTO,04X,1724 BROADWAY,Oakland,CA,POINT (-122.269098983 37.806895006)
STOLEN VEHICLE,05/31/2024 12:00:00 PM,24-028591,VEHICLE THEFT - AUTO,13Z,8845 SKYLINE BLVD,Oakland,CA,POINT (-122.188065006 37.828707987)
MISDEMEANOR ASSAULT,06/30/2024 06:00:00 AM,24-032472,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,10X,6623 SAN PABLO AV,Oakland,CA,POINT (-122.286132016 37.849422017)
,07/04/2024 09:57:00 AM,24-033226,BATTERY,32Y,2155 DURANT AV,Oakland,CA,POINT (-122.155845977 37.739081009)
BURG - COMMERCIAL,07/10/2024 09:18:00 AM,24-034917,BURGLARY-FORCIBLE ENTRY,07X,2607 MANDELA PKWY,Oakland,CA,POINT (-122.289487963 37.821096004)
,06/05/2024 04:26:00 AM,24-027754,ATTEMPTED BURGLARY:SECOND DEGREE,12X,4444 TELEGRAPH AVE,Oakland,CA,POINT (-122.262942978 37.832659007)
,08/11/2024 10:53:00 PM,24-040169,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,33X,1300 BLOCK OF 90TH AVE,Oakland,CA,POINT (-122.175409398 37.749449685)
FELONY ASSAULT,05/28/2024 12:21:00 PM,24-026306,SHOOT AT UNOCCUPIED DWELLING/VEHICLE/ETC,10X,5944 SAN PABLO AV,Oakland,CA,POINT (-122.283392978 37.842888994)
,06/21/2024 08:32:00 AM,24-030787,VEHICLE THEFT - AUTO,02X,750 4TH ST,Oakland,CA,POINT (-122.282779004 37.800577985)
,08/06/2024 07:30:00 PM,24-911722,BURGLARY-AUTO,09X,3853 PIEDMONT AVE,Oakland,CA,POINT (-122.255070024 37.824681992)
,07/14/2024 11:59:00 PM,24-035189,CARRY CONCEALED WEAPON IN VEH W/PRIOR CONVICTION,06X,950 BROCKHURST ST,Oakland,CA,POINT (-122.276279513 37.823433875)
STOLEN VEHICLE,06/04/2024 10:25:00 PM,24-027733,VEHICLE THEFT - AUTO,03Y,500 BLK 11TH ST,Oakland,CA,POINT (-122.274832436 37.803180272)
,06/22/2024 03:55:00 PM,24-910559,BURGLARY-AUTO,21Y,3316 ARKANSAS ST,Oakland,CA,POINT (-122.205891973 37.793547999)
,08/10/2024 10:15:00 AM,24-039899,EMBEZZLE LEASED/RENTED VEHICLE,33X,8000 SAN LEANDRO ST,Oakland,CA,POINT (-122.192399957 37.749883698)
ROBBERY,08/04/2024 09:22:00 PM,24-038843,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,19X,201 E 12TH ST,Oakland,CA,POINT (-122.257449982 37.796766985)
,06/25/2024 10:00:00 PM,24-909251,GRAND THEFT,10Y,819 54TH ST,Oakland,CA,POINT (-122.270400022 37.838581995)
ROBBERY,07/05/2024 11:00:00 AM,24-033468,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",02Y,1450 3RD ST,Oakland,CA,POINT (-122.2957866 37.802663705)
,08/08/2024 03:00:00 AM,24-039639,SEXUAL PENETRATION W/FOREIGN OBJ:VICTIM INCAPABLE ON CONS,17X,2247 8TH AVE,Oakland,CA,POINT (-122.24332396 37.79951298)
,07/24/2024 10:00:00 PM,24-037068,VEHICLE THEFT - AUTO,32Y,9967 LAWLOR ST,Oakland,CA,POINT (-122.154433039 37.746705985)
,06/08/2024 02:08:00 AM,24-028282,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,1647 89TH AV,Oakland,CA,POINT (-122.171838983 37.75199002)
,06/05/2024 11:29:00 AM,24-027810,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,12X,360 40TH ST,Oakland,CA,POINT (-122.258134029 37.828413992)
,05/28/2024 10:06:00 PM,24-026597,SC DISOBEY COURT ORDER,20X,3020 E 18TH ST,Oakland,CA,POINT (-122.224245994 37.782430997)
,05/29/2024 11:45:00 PM,24-026748,VEHICLE THEFT - AUTO,13Y,BINNACLE HILL & HILLER DR,Oakland,CA,POINT (-122.227666984 37.852803989)
STOLEN VEHICLE,07/09/2024 12:00:00 PM,24-034278,VEHICLE THEFT - AUTO,26X,5401 COLISEUM WY,Oakland,CA,POINT (-122.212188962 37.760623003)
WEAPONS,07/01/2024 04:35:00 PM,24-032756,CARRY LOADED FIREARM W/PRIOR FELONY CONVICTION,32Y,10600 BEVERLY AV,Oakland,CA,POINT (-122.160044194 37.740573343)
STOLEN VEHICLE,06/02/2024 02:00:00 PM,24-027509,VEHICLE THEFT - AUTO,15X,676 ALMA AV,Oakland,CA,POINT (-122.237365014 37.805147002)
,07/09/2024 05:35:00 PM,24-911838,VANDALISM,,VALDEZ ST,Oakland,CA,POINT (-122.261986855 37.816973742)
,07/28/2024 10:22:00 AM,24-037657,POSS STOLEN VEH/VES/ETC,35X,8500 BANCROFT AV,Oakland,CA,POINT (-122.168291007 37.757582007)
,07/22/2024 12:00:00 AM,24-910777,BURGLARY-AUTO,06X,889 34TH ST,Oakland,CA,POINT (-122.275160021 37.824456016)
,06/15/2024 05:00:00 PM,24-029801,BURGLARY-AUTO,08X,2370 TELEGRAPH AV,Oakland,CA,POINT (-122.267923002 37.813583011)
,07/12/2024 11:13:00 AM,24-034760,BATTERY,29X,5800 BANCROFT AV,Oakland,CA,POINT (-122.19273599 37.771428995)
STOLEN VEHICLE,05/22/2024 11:00:00 PM,24-025492,THEFT,25X,4258 MACARTHUR BLVD,Oakland,CA,POINT (-122.194852001 37.78787102)
STOLEN VEHICLE,06/30/2024 07:58:00 AM,24-032644,VEHICLE THEFT - AUTO,32X,1174 100TH AV,Oakland,CA,POINT (-122.172679748 37.740781585)
,06/03/2024 10:54:00 AM,24-027437,BATTERY,04X,1428 ALICE ST,Oakland,CA,POINT (-122.265774972 37.802819013)
,07/17/2024 06:00:00 AM,24-034385,RECEIVE/ETC KNOWN STOLEN PROPERTY,20X,1500 27TH AV,Oakland,CA,POINT (-122.230351037 37.781438999)
OTHER,07/29/2024 12:15:00 PM,24-037863,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,05X,1801 ADELINE ST,Oakland,CA,POINT (-122.285165502 37.812434938)
MISDEMEANOR ASSAULT,05/25/2024 11:14:00 PM,24-025847,BATTERY,06X,3737 MARTIN LUTHER KING JR WY,Oakland,CA,POINT (-122.269221924 37.826865193)
STOLEN VEHICLE,06/29/2024 04:50:00 PM,24-032411,VEHICLE THEFT - AUTO,04X,601 WILLIAM ST,Oakland,CA,POINT (-122.272412014 37.809017011)
DOMESTIC VIOLENCE,07/11/2024 12:39:00 PM,24-034617,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,29X,5906 FORTUNE WY,Oakland,CA,POINT (-122.19061995 37.771218529)
RECOVERED O/S STOLEN,05/21/2024 10:20:00 PM,24-025185,VEHICLE THEFT - AUTO,23X,FOOTHILL BLVD&HIGH ST,Oakland,CA,POINT (-122.211776991 37.774673001)
,06/17/2024 01:31:00 AM,24-030019,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,30Y,2651 73RD AV,Oakland,CA,POINT (-122.174599095 37.767716318)
STOLEN VEHICLE,06/17/2024 02:11:00 AM,24-030142,VEHICLE THEFT - AUTO,24X,3807 BROOKDALE AV,Oakland,CA,POINT (-122.207409014 37.785098999)
BURG - AUTO,06/06/2024 10:00:00 PM,24-908885,BURGLARY-AUTO,12X,517 44TH ST,Oakland,CA,POINT (-122.264336973 37.832200014)
,05/22/2024 11:19:00 AM,24-025272,VEHICLE THEFT - AUTO,04X,320 19TH ST,Oakland,CA,POINT (-122.265846661 37.806588412)
,07/20/2024 12:22:00 AM,24-036049,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30X,2763 RITCHIE STREET,Oakland,CA,POINT (-122.167505036 37.764455)
,07/24/2024 09:30:00 PM,24-910943,BURGLARY-AUTO,12X,4484 TELEGRAPH AVE,Oakland,CA,POINT (-122.263266144 37.833080732)
,06/09/2024 01:45:00 AM,24-028427,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,04X,1800 BLOCK OF JEFFERSON ST,Oakland,CA,POINT (-122.273027258 37.808530617)
WEAPONS,07/31/2024 04:05:00 PM,24-038190,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,21X,2400 FOOTHILL BLVD,Oakland,CA,POINT (-122.232272753 37.78482214)
,06/29/2024 03:00:00 PM,24-032652,ATTEMPT ARSON,07X,2811 ADELINE ST,Oakland,CA,POINT (-122.282549004 37.820574021)
,07/14/2024 04:45:00 AM,24-035040,ATTEMPTED BURGLARY,04X,17TH ST & BROADWAY,Oakland,CA,POINT (-122.269718993 37.806654991)
VANDALISM,06/28/2024 09:00:00 AM,24-032381,VANDALISM,17Y,5TH AV & E 21ST ST,Oakland,CA,POINT (-122.247378036 37.800351003)
RECOVERED O/S STOLEN,06/02/2024 07:49:00 AM,24-027243,VEHICLE THEFT - AUTO,30Y,7594 CIRCLE HILL DR,Oakland,CA,POINT (-122.161086007 37.773501001)
,07/29/2024 11:52:00 AM,24-037840,TRESPASS:OCCUPY PROPERTY W/O CONSENT,03X,1333 BROADWAY,Oakland,CA,POINT (-122.271939024 37.804164015)
,07/12/2024 05:20:00 PM,24-910043,BURGLARY-AUTO,08X,371 30TH ST,Oakland,CA,POINT (-122.264128012 37.818669988)
ROBBERY,06/28/2024 03:15:00 PM,24-032228,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",12X,486 41ST ST,Oakland,CA,POINT (-122.262974997 37.829964016)
,06/07/2024 04:00:00 PM,24-028334,VEHICLE THEFT - AUTO,25X,4860 MOUNTAIN BLVD,Oakland,CA,POINT (-122.177726013 37.788519989)
WEAPONS,07/18/2024 04:28:00 PM,24-035883,HAVE FIREARM AT PUBLIC/ETC SCHOOL,02Y,801 WILLOW ST,Oakland,CA,POINT (-122.300412862 37.807873092)
STOLEN VEHICLE,06/13/2024 04:15:00 PM,24-029482,VEHICLE THEFT - AUTO,19X,1442 2ND AV,Oakland,CA,POINT (-122.255478977 37.798311979)
PETTY THEFT,05/20/2024 11:48:00 PM,24-024989,THEFT,25Y,750 CANYON OAKS DR,Oakland,CA,POINT (-122.145017983 37.774906982)
,05/24/2024 11:23:00 AM,24-025606,BATTERY,20X,FRUITVALE AVE AND E 12TH ST,Oakland,CA,POINT (-122.226522016 37.776266987)
,06/05/2024 09:30:00 PM,24-028023,VEHICLE THEFT - AUTO,33X,81S T AV & INTERNATIONAL BL,Oakland,CA,POINT (-122.180666384 37.756080389)
ROBBERY,05/21/2024 09:05:00 AM,24-025063,CARJACKING - STRONGARM,09X,75 GLEN AV,Oakland,CA,POINT (-122.250761978 37.825312017)
RECOVERED O/S STOLEN,05/26/2024 08:46:00 AM,24-025884,VEHICLE THEFT - AUTO,30X,1447 67TH AV,Oakland,CA,POINT (-122.191104033 37.762284003)
,08/07/2024 06:39:00 PM,24-039470,THREAT CRIME:INT:TERRORIZE,15X,745 CLEVELAND ST,Oakland,CA,POINT (-122.243830977 37.804295642)
,06/05/2024 01:01:00 AM,24-027927,BATTERY,19X,1145 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.248585154 37.791006312)
WEAPONS,06/29/2024 07:02:00 PM,24-032417,"SALE, TRANSFER, POSSESSION AND USE FIREWORKS PROHIBITED",02Y,707 WILLOW ST,Oakland,CA,POINT (-122.301070999 37.806959002)
,05/24/2024 09:45:00 PM,24-908843,VANDALISM,12X,4701 TELEGRAPH AVE,Oakland,CA,POINT (-122.263333994 37.834501014)
,07/02/2024 06:05:00 PM,24-910472,BURGLARY-AUTO,08X,2350 WEBSTER ST,Oakland,CA,POINT (-122.264684989 37.81309598)
STOLEN VEHICLE,05/23/2024 08:00:00 PM,24-025638,VEHICLE THEFT - AUTO,30Y,7917 HILLSIDE ST,Oakland,CA,POINT (-122.169631022 37.763751004)
,07/14/2024 09:23:00 AM,24-035069,THREAT CRIME:INT:TERRORIZE,11X,5614 SHATTUCK AV,Oakland,CA,POINT (-122.264469993 37.841529994)
GRAND THEFT,05/17/2024 07:12:00 PM,24-024462,GRAND THEFT,13Z,1991 MOUNTAIN BLVD,Oakland,CA,POINT (-122.210585001 37.827310012)
BURG - RESIDENTIAL,07/09/2024 08:52:00 PM,24-034303,BURGLARY-FORCIBLE ENTRY,22X,3937 RHODA AV,Oakland,CA,POINT (-122.205456031 37.803432987)
,07/14/2024 07:00:00 AM,24-035158,DISTURB THE PEACE,10X,936 63RD ST,Oakland,CA,POINT (-122.276914018 37.847332995)
,07/30/2024 11:12:00 PM,24-038098,ROBBERY-FIREARM,09X,4243 PIEDMONT AVE,Oakland,CA,POINT (-122.250147052 37.828195299)
,07/27/2024 02:55:00 AM,24-037465,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,2325 88TH AV,Oakland,CA,POINT (-122.164946041 37.756209009)
ROBBERY,05/28/2024 08:35:00 AM,24-026256,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",30Y,7200 BANCROFT AV,Oakland,CA,POINT (-122.17608098 37.768218013)
ARSON,05/28/2024 07:05:00 PM,24-026387,MAL SET/ETC FIRE PROP/ETC - COMMUNITY/PUBLIC,19X,1000 4TH AV,Oakland,CA,POINT (-122.257373614 37.794488112)
DOMESTIC VIOLENCE,06/07/2024 12:50:00 PM,24-028115,INFLICT CRPL INJ SP/COHAB,26Y,6200 SAN LEANDRO ST,Oakland,CA,POINT (-122.203433458 37.759152877)
,08/06/2024 10:00:00 AM,24-039081,VEHICLE THEFT - AUTO,06X,819 30TH ST,Oakland,CA,POINT (-122.274241029 37.819979995)
,07/17/2024 02:00:00 AM,24-036752,BATTERY,22Y,I580 FREEWAY (BEFORE EDWARDS AVENUE),Oakland,CA,POINT (-122.166031196 37.775135795)
,07/02/2024 07:00:00 PM,24-033046,VEHICLE THEFT - AUTO,30Y,2836 73RD AV,Oakland,CA,POINT (-122.171124007 37.769474)
OTHER,05/22/2024 04:38:00 PM,24-025327,DISORDERLY CONDUCT:SOLICIT LEWD ACT,03X,125 14TH ST,Oakland,CA,POINT (-122.263743031 37.800977006)
,06/01/2024 11:40:00 AM,24-909818,THEFT,04X,641 18TH ST,Oakland,CA,POINT (-122.274061992 37.80831599)
,06/14/2024 05:00:00 AM,24-911467,GRAND THEFT,,RACINE ST,Oakland,CA,POINT (-122.262187672 37.846973148)
,05/22/2024 09:00:00 PM,24-908194,GRAND THEFT,31X,449 HEGENBERGER ROAD,Oakland,CA,POINT (-122.197507975 37.736640995)
,07/07/2024 11:30:00 PM,24-911658,VANDALISM,16Y,1042 TRESTLE GLEN ROAD,Oakland,CA,POINT (-122.235325026 37.807371015)
,05/30/2024 09:35:00 PM,24-909412,VANDALISM,12X,4721 TELEGRAPH AVE,Oakland,CA,POINT (-122.263402977 37.834791992)
,06/19/2024 11:55:00 AM,24-910933,GRAND THEFT,03X,188 11TH ST,Oakland,CA,POINT (-122.266216268 37.799869979)
,06/20/2024 12:35:00 AM,24-909370,VANDALISM,08X,2927 BROADWAY,Oakland,CA,POINT (-122.263069964 37.817989)
,07/11/2024 03:00:00 PM,24-034645,EXHIBIT DEADLY WEAPON OTHER THAN FIREARM,14X,340 LENOX AV,Oakland,CA,POINT (-122.257850972 37.810049997)
,06/06/2024 10:00:00 PM,24-028986,VEHICLE THEFT - AUTO,21Y,3236 SUTER ST,Oakland,CA,POINT (-122.207401973 37.793803018)
STOLEN VEHICLE,05/26/2024 12:00:00 PM,24-027312,VEHICLE THEFT - AUTO,01X,255 2ND ST,Oakland,CA,POINT (-122.272396005 37.794069018)
,08/01/2024 06:30:00 AM,24-038273,SC UNEXPLAINED DEATH,26X,5401 SAN LEANDRO ST,Oakland,CA,POINT (-122.209675984 37.763411998)
,06/29/2024 05:40:00 AM,24-911343,GRAND THEFT,23X,3431 FOOTHILL BOULEVARD,Oakland,CA,POINT (-122.220711011 37.782099996)
,08/11/2024 09:46:00 PM,24-040153,VEHICLE THEFT - AUTO,35X,9899 MACARTHUR BLVD,Oakland,CA,POINT (-122.157576001 37.747106011)
FELONY ASSAULT,07/01/2024 11:30:00 PM,24-032809,ASSAULT WITH FIREARM ON PERSON,99X,13855 E 14TH ST,Oakland,CA,POINT (-122.143430031 37.712389006)
,07/01/2024 07:00:00 AM,24-909903,VANDALISM,,PARK BLVD RAMP,Oakland,CA,POINT (-122.230701288 37.805291589)
STOLEN VEHICLE,05/20/2024 01:00:00 PM,24-025193,VEHICLE THEFT - AUTO,08X,2629 HARRISON ST,Oakland,CA,POINT (-122.260787991 37.814606986)
PETTY THEFT,07/05/2024 08:30:00 PM,24-033911,THEFT,10Y,5121 WEST ST,Oakland,CA,POINT (-122.269696026 37.836584001)
,05/26/2024 08:50:00 AM,24-909407,VANDALISM,23X,4206 E 17TH ST,Oakland,CA,POINT (-122.213790995 37.774761011)
,05/17/2024 11:45:00 AM,24-907933,VANDALISM,,REDWOOD ROAD,Oakland,CA,POINT (-122.156446058 37.800801047)
ROBBERY,07/12/2024 07:05:00 PM,24-034841,ROBBERY-FIREARM,35X,9002 MACARTHUR BLVD,Oakland,CA,POINT (-122.161193302 37.755511957)
STOLEN VEHICLE,06/22/2024 08:00:00 PM,24-031166,VEHICLE THEFT - AUTO,20X,1538 26TH AV,Oakland,CA,POINT (-122.230982027 37.782844015)
,06/02/2024 11:30:00 AM,24-908774,VANDALISM,24Y,3535 SUTER ST,Oakland,CA,POINT (-122.204035969 37.790809003)
,07/27/2024 12:01:00 AM,24-911010,BURGLARY-AUTO,,1668 12TH ST ST,Oakland,CA,POINT (-122.296815919 37.810882886)
,07/25/2024 04:43:00 AM,24-036967,VEHICLE THEFT - AUTO,26Y,845 66TH AVE,Oakland,CA,POINT (-122.201368009 37.756839999)
,07/02/2024 06:50:00 PM,24-033051,CARRY CONCEALED WEAPON IN VEHICLE,19X,506 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.253207984 37.795752984)
THREATS,06/22/2024 07:44:00 AM,24-031004,TRESPASSING,25X,3623 MACARTHUR BLVD,Oakland,CA,POINT (-122.199901008 37.792494017)
ROBBERY,05/24/2024 12:00:00 PM,24-026675,ATTEMPTED EXTORTION,19X,1613 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.244007002 37.787964981)
DUI,08/09/2024 12:33:00 AM,24-039660,DUI ALCOHOL/DRUGS,27Y,1900 SEMINARY AV,Oakland,CA,POINT (-122.196171983 37.767178993)
,05/17/2024 12:40:00 PM,24-909740,VANDALISM,12Y,5303 COLLEGE AVE,Oakland,CA,POINT (-122.251550966 37.838111016)
,05/17/2024 09:15:00 AM,24-908086,ATTEMPT VEHICLE THEFT-AUTO,31X,7100 EDGEWATER DRIVE,Oakland,CA,POINT (-122.209643984 37.749562116)
PETTY THEFT,05/21/2024 10:39:00 PM,24-908299,THEFT,14Y,531 PRINCE ST,Oakland,CA,POINT (-122.242404969 37.813622992)
,07/08/2024 06:00:00 PM,24-034154,VEHICLE THEFT - AUTO,08X,249 30TH ST,Oakland,CA,POINT (-122.2610891 37.818358255)
,07/07/2024 03:30:00 PM,24-910104,BURGLARY-AUTO,,BROADWAY/EMBARCADERO BOULEVARD,Oakland,CA,POINT (-122.242967456 37.782417258)
,08/05/2024 11:25:00 PM,24-911754,BURGLARY-NO FORCE,03Y,546 9TH ST,Oakland,CA,POINT (-122.275490005 37.801774873)
,07/18/2024 02:29:00 AM,24-035789,INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT,20X,1272 26TH AV,Oakland,CA,POINT (-122.233055961 37.780632995)
DOMESTIC VIOLENCE,07/08/2024 11:10:00 PM,24-034124,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,10X,1025 AILEEN ST,Oakland,CA,POINT (-122.279409279 37.840126179)
,06/17/2024 09:00:00 PM,24-030258,VEHICLE THEFT - AUTO,27Y,5900 BLK INTERNATIONAL BLVD.,Oakland,CA,POINT (-122.198885021 37.764868593)
,07/25/2024 03:40:00 PM,24-910954,BURGLARY-AUTO,,LUCAS AVE,Oakland,CA,POINT (-122.208198351 37.82632711)
BURG - AUTO,05/17/2024 01:00:00 AM,24-907826,BURGLARY-AUTO,01X,233 BROADWAY,Oakland,CA,POINT (-122.276954 37.796737984)
NARCOTICS,08/05/2024 05:20:00 PM,24-039002,POSSESS NARCOTIC CONTROLLED SUBSTANCE,07X,1000 32ND ST,Oakland,CA,POINT (-122.277991379 37.823126014)
,07/01/2024 11:30:00 PM,24-032855,VEHICLE THEFT - AUTO,08X,555 34TH ST.,Oakland,CA,POINT (-122.267780007 37.82241498)
,07/19/2024 10:26:00 PM,24-036030,BATTERY,06X,2515 SAN PABLO AVE,Oakland,CA,POINT (-122.275135978 37.815909242)
STOLEN VEHICLE,07/06/2024 08:00:00 PM,24-034044,VEHICLE THEFT - AUTO,19X,700 E 8TH ST,Oakland,CA,POINT (-122.255685005 37.791610983)
DOMESTIC VIOLENCE,07/13/2024 01:23:00 AM,24-034879,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,18Y,1810 E 25TH ST,Oakland,CA,POINT (-122.234243007 37.795353)
,06/11/2024 03:00:00 PM,24-908691,BURGLARY-AUTO,,10TH STREET/EAST DRIVE,Oakland,CA,POINT (-122.254744403 37.792044859)
MISDEMEANOR ASSAULT,06/02/2024 10:14:00 PM,24-027389,VANDALISM-$400+,29X,5843 KINGSLEY CIR,Oakland,CA,POINT (-122.190349997 37.772282985)
,08/05/2024 05:00:00 PM,24-039308,VEHICLE THEFT - AUTO,32Y,10028 VOLTAIRE AV,Oakland,CA,POINT (-122.156723027 37.7454565)
FORCIBLE RAPE,05/19/2024 09:00:00 AM,24-024718,CARRY STOLEN LOADED FIREARM,25X,4474 MACARTHUR BLVD,Oakland,CA,POINT (-122.192391996 37.785865985)
,06/08/2024 04:50:00 PM,24-910455,BURGLARY-AUTO,22Y,2833 MACARTHUR BOULEVARD,Oakland,CA,POINT (-122.20787203 37.798451999)
STOLEN VEHICLE,06/14/2024 06:00:00 PM,24-029893,VEHICLE THEFT - AUTO,01X,311 4TH ST,Oakland,CA,POINT (-122.272475968 37.795797995)
DOMESTIC VIOLENCE,06/30/2024 04:22:00 AM,24-032465,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,26Y,7120 HAWLEY ST,Oakland,CA,POINT (-122.195202071 37.75557048)
,05/22/2024 08:15:00 PM,24-025357,DISORDERLY CONDUCT:PROSTITUTION,19X,1300 BLK OF 18TH AVE,Oakland,CA,POINT (-122.242107914 37.787054895)
,06/17/2024 03:30:00 AM,24-030077,VEHICLE THEFT - AUTO,19X,617 DERBY AVE,Oakland,CA,POINT (-122.231153182 37.77289183)
,06/20/2024 12:00:00 PM,24-911112,THEFT,04X,1505 JACKSON ST,Oakland,CA,POINT (-122.264875007 37.803192007)
WEAPONS,06/19/2024 11:31:00 PM,24-030574,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,77X,UNK LOCATION,Oakland,CA,POINT (-122.27248 37.804828)
,07/02/2024 12:15:00 AM,24-910593,BURGLARY-NO FORCE,18Y,2132 19TH AVE,Oakland,CA,POINT (-122.235422005 37.791943996)
,07/09/2024 09:45:00 PM,24-910116,BURGLARY-AUTO,12X,4907 SHATTUCK AVE,Oakland,CA,POINT (-122.264219961 37.836214987)
RECOVERED O/S STOLEN,06/11/2024 09:01:00 PM,24-029077,VEHICLE THEFT - AUTO,10X,GASKILL ST & 55TH ST,Oakland,CA,POINT (-122.279949022 37.838694983)
STOLEN VEHICLE,06/01/2024 09:15:00 PM,24-027262,VEHICLE THEFT - AUTO,27Y,1730 65TH AV,Oakland,CA,POINT (-122.191709961 37.764342012)
,06/05/2024 05:12:00 AM,24-027760,MALICIOUSLY DESTROY OTHER'S PROPERTY,32Y,10831 MACARTHUR BLVD,Oakland,CA,POINT (-122.150331694 37.741577525)
,07/20/2024 08:00:00 PM,24-036302,VEHICLE THEFT - AUTO,26Y,7120 HAWLEY ST,Oakland,CA,POINT (-122.195202071 37.75557048)
,06/21/2024 11:00:00 PM,24-030985,VEHICLE THEFT - AUTO,18Y,2939 22ND AVE,Oakland,CA,POINT (-122.227153006 37.796473996)
,08/04/2024 02:00:00 AM,24-039269,VEHICLE THEFT - AUTO,10X,55TH ST & SAN PABLO AV,Oakland,CA,POINT (-122.282345995 37.838543983)
,06/30/2024 09:40:00 PM,24-909867,BURGLARY-AUTO,04X,571 19TH ST,Oakland,CA,POINT (-122.271912034 37.808444988)
STOLEN VEHICLE,07/23/2024 05:00:00 AM,24-036566,CONTEMPT OF COURT:DISOBEY COURT ORDER/ETC,20X,3020 E 18TH ST,Oakland,CA,POINT (-122.224245994 37.782430997)
FELONY ASSAULT,05/24/2024 01:55:00 AM,24-025557,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,20X,2701 E 10TH ST,Oakland,CA,POINT (-122.23469697 37.777767013)
STOLEN VEHICLE,07/23/2024 01:09:00 PM,24-036788,VEHICLE THEFT - AUTO,27Y,1449 50TH AV,Oakland,CA,POINT (-122.208221975 37.770592984)
FELONY ASSAULT,06/16/2024 06:40:00 AM,24-029879,ASSAULT WITH FIREARM ON PERSON,19X,2010 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.239901687 37.785843154)
,06/06/2024 11:30:00 PM,24-909973,THEFT,08X,2333 HARRISON ST,Oakland,CA,POINT (-122.262359011 37.812023013)
,06/28/2024 07:50:00 PM,24-911251,VANDALISM,24Y,2647 HUMBOLDT AVE,Oakland,CA,POINT (-122.21010103 37.790530011)
STOLEN VEHICLE,05/24/2024 12:00:00 PM,24-025792,VEHICLE THEFT - AUTO,07X,LOUISE ST & 32ND ST,Oakland,CA,POINT (-122.284665938 37.823906414)
,07/10/2024 03:40:00 PM,24-034453,VEHICLE THEFT - AUTO,18Y,1800 BLK OF E23RD ST,Oakland,CA,POINT (-122.235262256 37.793296308)
,07/23/2024 09:27:00 PM,24-036728,SELLING FOOD WITHOUT HEALTH PERMIT,31X,7000 COLISEUM WY,Oakland,CA,POINT (-122.201306989 37.751257987)
ROBBERY,05/17/2024 10:01:00 AM,24-024367,ROBBERY/INHABITED DWELLING - FIREARM,31Y,8400 EDES AV,Oakland,CA,POINT (-122.194768014 37.742048999)
DOMESTIC VIOLENCE,05/20/2024 05:20:00 PM,24-024946,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,32X,10950 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.163675009 37.736930003)
,06/25/2024 10:09:00 PM,24-031802,THEFT:PERSONAL PROPERTY,12Y,6239 COLLEGE AV,Oakland,CA,POINT (-122.25242419 37.850060652)
STOLEN VEHICLE,07/12/2024 11:00:00 PM,24-034921,VEHICLE THEFT - AUTO,06X,727 34TH ST,Oakland,CA,POINT (-122.271903575 37.823765003)
,06/09/2024 04:45:00 PM,24-028559,THREAT CRIME:INT:TERRORIZE,14Y,181 SANTA ROSA AVE,Oakland,CA,POINT (-122.250399963 37.819111002)
VANDALISM,06/28/2024 04:29:00 AM,24-032143,VANDALISM:DAMAGE PROPERTY,06X,2420 SAN PABLO AV,Oakland,CA,POINT (-122.274354017 37.81511099)
PETTY THEFT,05/17/2024 08:30:00 PM,24-024626,THEFT,24X,2432 38TH AV,Oakland,CA,POINT (-122.209014987 37.784161986)
,07/02/2024 03:30:00 PM,24-032948,CARRY LOADED FIREARM IN PUBLIC UNDER SPEC CIRCUMSTANCES,06X,500 40TH ST,Oakland,CA,POINT (-122.264806024 37.829560008)
